pdf,txt,status,pages,error
data_taluyers/raster_pdfs/PV-complet11.pdf,data_taluyers/raster_txt/PV-complet11.txt,OK,12,
data_taluyers/raster_pdfs/compte-rendu-du-cm-du-9-novembre-2020.pdf,data_taluyers/raster_txt/compte-rendu-du-cm-du-9-novembre-2020.txt,OK,4,
data_taluyers/raster_pdfs/conseil-municipal-du-13-janvier-2020.pdf,data_taluyers/raster_txt/conseil-municipal-du-13-janvier-2020.txt,OK,6,
data_taluyers/raster_pdfs/conseil-municipal-du-22-fevrier-2021.pdf,data_taluyers/raster_txt/conseil-municipal-du-22-fevrier-2021.txt,OK,6,
data_taluyers/raster_pdfs/conseil-municipal-du-22-novembre-2021.pdf,data_taluyers/raster_txt/conseil-municipal-du-22-novembre-2021.txt,OK,6,
data_taluyers/raster_pdfs/conseil-municipal-du-6-septembre-2021.pdf,data_taluyers/raster_txt/conseil-municipal-du-6-septembre-2021.txt,OK,8,
data_taluyers/raster_pdfs/cr-affichage-cm-31012022.pdf,data_taluyers/raster_txt/cr-affichage-cm-31012022.txt,OK,6,
data_taluyers/raster_pdfs/cr-cm-10-01-2022.pdf,data_taluyers/raster_txt/cr-cm-10-01-2022.txt,OK,12,
data_taluyers/raster_pdfs/cr-conseil-municipal-du-5-octobre-2020.pdf,data_taluyers/raster_txt/cr-conseil-municipal-du-5-octobre-2020.txt,OK,4,
data_taluyers/raster_pdfs/deliberation-examinees-19-mai-2025.pdf,data_taluyers/raster_txt/deliberation-examinees-19-mai-2025.txt,OK,1,
data_taluyers/raster_pdfs/deliberations-examinees-le-07072025.pdf,data_taluyers/raster_txt/deliberations-examinees-le-07072025.txt,OK,1,
data_taluyers/raster_pdfs/pc-conseil-du-03102022.pdf,data_taluyers/raster_txt/pc-conseil-du-03102022.txt,OK,12,
data_taluyers/raster_pdfs/proces-verbal-du-conseil-municipal-du-07072025.pdf,data_taluyers/raster_txt/proces-verbal-du-conseil-municipal-du-07072025.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/proces-verbal-du-conseil-municipal-du-10022025.pdf,data_taluyers/raster_txt/proces-verbal-du-conseil-municipal-du-10022025.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/proces-verbal-du-conseil-municipal-du-19052025.pdf,data_taluyers/raster_txt/proces-verbal-du-conseil-municipal-du-19052025.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/proces-verbal-du-conseil-municipal-du-31032025.pdf,data_taluyers/raster_txt/proces-verbal-du-conseil-municipal-du-31032025.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-06072020.pdf,data_taluyers/raster_txt/pv-du-06072020.txt,OK,16,
data_taluyers/raster_pdfs/pv-du-cm-13-06-2022.pdf,data_taluyers/raster_txt/pv-du-cm-13-06-2022.txt,OK,7,
data_taluyers/raster_pdfs/pv-du-cm-29-08-2022.pdf,data_taluyers/raster_txt/pv-du-cm-29-08-2022.txt,OK,10,
data_taluyers/raster_pdfs/pv-du-cm-du-03062024.pdf,data_taluyers/raster_txt/pv-du-cm-du-03062024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-04072022-2.pdf,data_taluyers/raster_txt/pv-du-cm-du-04072022-2.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-05022024.pdf,data_taluyers/raster_txt/pv-du-cm-du-05022024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-07102024.pdf,data_taluyers/raster_txt/pv-du-cm-du-07102024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-08072024.pdf,data_taluyers/raster_txt/pv-du-cm-du-08072024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-09052022.pdf,data_taluyers/raster_txt/pv-du-cm-du-09052022.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-16122024.pdf,data_taluyers/raster_txt/pv-du-cm-du-16122024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-18112024.pdf,data_taluyers/raster_txt/pv-du-cm-du-18112024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-25032024.pdf,data_taluyers/raster_txt/pv-du-cm-du-25032024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-27-fevrier-2023-2.pdf,data_taluyers/raster_txt/pv-du-cm-du-27-fevrier-2023-2.txt,OK,12,
data_taluyers/raster_pdfs/pv-du-cm-du-28112022.pdf,data_taluyers/raster_txt/pv-du-cm-du-28112022.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-29042024.pdf,data_taluyers/raster_txt/pv-du-cm-du-29042024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-cm-du-30082024.pdf,data_taluyers/raster_txt/pv-du-cm-du-30082024.txt,SKIPPED_EXISTS,,
data_taluyers/raster_pdfs/pv-du-conseil-municipal-du-30012023.pdf,data_taluyers/raster_txt/pv-du-conseil-municipal-du-30012023.txt,OK,10,
